Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
19/02/2021,-3209.9999999999573,9619.999850000022,6381.499850000065,4.75,23.75,-,-,0.0,-126112.52965499576,187111.60152000003,54617.57201500414,6381.499850000065,60999.07186500422
22/02/2021,-13385.00000000005,1562.5000499999942,-11840.499950000054,3.0,15.0,Wire Fee,-,-25.0,-137953.0296049958,187086.60152000003,60974.0718650042,-11865.499950000054,49133.57191500416
23/02/2021,0.0,-924.9999999999544,-939.9999999999544,2.5,12.5,-,-,0.0,-138893.02960499574,187086.60152000003,49133.57191500415,-939.9999999999544,48193.571915004206
24/02/2021,22169.999999999916,-23170.000250000045,-1040.5002500001324,6.75,33.75,-,-,0.0,-139933.52985499587,187086.60152000003,48193.57191500419,-1040.5002500001324,47153.07166500407
25/02/2021,-51099.99999999995,53420.00070000012,2288.5007000001638,4.28,27.22,-,-,0.0,-137645.02915499572,187086.60152000003,47153.071665004056,2288.5007000001638,49441.572365004235
26/02/2021,3525.0009000000236,8310.001249999823,11664.00214999985,28.5,142.5,-,-,0.0,-125981.02700499586,187086.60152000003,49441.57236500422,11664.00214999985,61105.57451500408
01/03/2021,58449.99910000024,-14469.999650000183,43915.49945000005,10.75,53.75,-,-,0.0,-82065.52755499582,187086.60152000003,61105.57451500407,43915.49945000005,105021.07396500412
02/03/2021,-15120.000900000141,18402.500299999923,3235.749399999785,7.63,39.12,-,-,0.0,-78829.77815499603,187086.60152000003,105021.07396500412,3235.749399999785,108256.8233650039
03/03/2021,-29930.000000000047,42002.4987999997,11960.498799999656,18.02,93.98,FX - Sell USD,5.7033,-70000.0,-66869.27935499638,117086.60152000003,38256.823365003904,-58039.50120000035,50217.322165003556
04/03/2021,-27170.00059999996,49191.249999999745,21789.979399999796,38.7,192.57,-,-,0.0,-45079.29995499659,117086.60152000003,50217.322165003556,21789.979399999796,72007.30156500335
05/03/2021,60.004200000059775,7505.029499999799,7474.533699999858,13.79,76.71000000000002,FX - Sell USD,5.6643,-30000.0,-37604.766254996735,87086.60152000003,42007.30156500335,-22525.466300000142,49481.8352650032
08/03/2021,0.0,0.0,0.0,0.0,0.0,TT Fee,-,-500.0,-37604.766254996735,86586.60152000003,48981.8352650032,-500.0,48981.8352650032
08/03/2021,0.0,0.0,0.0,0.0,0.0,Wire Fee,-,-25.0,-37604.766254996735,86561.60152000003,48956.8352650032,-25.0,48956.8352650032
09/03/2021,0.0,1100.0009999990198,1070.6009999990197,11.9,17.5,-,-,0.0,-36534.165254997715,86561.60152000003,48956.8352650032,1070.6009999990197,50027.43626500222
