Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
02/02/2021,11770.000000000087,9302.500000000087,5.0,25.0,-,-,0.0,-151926.91905499602,187361.60152000003,26132.18246500386,35434.68246500396
03/02/2021,4234.9999999998,3673.4999999998863,2.75,13.75,-,-,0.0,-148253.41905499613,187361.60152000003,35434.68246500395,39108.18246500385
04/02/2021,12065.000000000024,4205.999900000037,1.5,7.5,-,-,0.0,-144047.4191549961,187361.60152000003,39108.18246500383,43314.182365003886
05/02/2021,-980.0000000000251,-594.9999999999343,2.5,12.5,-,-,0.0,-144642.41915499605,187361.60152000003,43314.18236500387,42719.18236500395
08/02/2021,13979.999999999887,6185.750000000161,5.13,26.62,-,-,0.0,-138456.66915499588,187361.60152000003,42719.18236500394,48904.93236500411
09/02/2021,1269.9999999999495,512.4999999999495,1.25,6.25,-,-,0.0,-137944.16915499594,187361.60152000003,48904.9323650041,49417.43236500406
10/02/2021,739.999999999984,1463.0000000000205,2.0,10.0,TT Fee,-,-250.0,-136481.1691549959,187111.60152000003,49167.432365004046,50630.43236500408
11/02/2021,1409.9999999999936,1082.0000499999921,1.75,8.75,-,-,0.0,-135399.1691049959,187111.60152000003,50630.43236500407,51712.43241500408
12/02/2021,3674.999999999965,3134.000000000029,3.5,17.5,-,-,0.0,-132265.16910499588,187111.60152000003,51712.43241500406,54846.43241500411
15/02/2021,0.0,0.0,0.0,0.0,-,-,0.0,-132265.16910499588,187111.60152000003,54846.43241500409,54846.43241500411
16/02/2021,-965.0000000000432,-965.0000000000432,0.0,0.0,-,-,0.0,-133230.1691049959,187111.60152000003,54846.43241500409,53881.43241500406
17/02/2021,-179.99999999990604,-1163.1801999999966,3.55,17.13,-,-,0.0,-134393.3493049959,187111.60152000003,53881.43241500405,52718.25221500407
18/02/2021,3339.999999999995,1899.3198000000864,4.8,23.38,-,-,0.0,-132494.02950499582,187111.60152000003,52718.25221500405,54617.57201500415
19/02/2021,-3209.9999999999573,6381.499850000065,4.75,23.75,-,-,0.0,-126112.52965499576,187111.60152000003,54617.57201500414,60999.07186500422
22/02/2021,-13385.00000000005,-11840.499950000054,3.0,15.0,Wire Fee,-,-25.0,-137953.0296049958,187086.60152000003,60974.0718650042,49133.57191500416
23/02/2021,0.0,-939.9999999999544,2.5,12.5,-,-,0.0,-138893.02960499574,187086.60152000003,49133.57191500415,48193.571915004206
24/02/2021,22169.999999999916,-1040.5002500001324,6.75,33.75,-,-,0.0,-139933.52985499587,187086.60152000003,48193.57191500419,47153.07166500407
25/02/2021,-51099.99999999995,2288.5007000001638,4.28,27.22,-,-,0.0,-137645.02915499572,187086.60152000003,47153.071665004056,49441.572365004235
26/02/2021,3525.0009000000236,11664.00214999985,28.5,142.5,-,-,0.0,-125981.02700499586,187086.60152000003,49441.57236500422,61105.57451500408
01/03/2021,58449.99910000024,43915.49945000005,10.75,53.75,-,-,0.0,-82065.52755499582,187086.60152000003,61105.57451500407,105021.07396500412
02/03/2021,-15120.000900000141,3235.749399999785,7.63,39.12,-,-,0.0,-78829.77815499603,187086.60152000003,105021.07396500412,108256.8233650039
